fecha_hora,id_unidad,temperatura_motor_c,presion_aceite_psi,vibracion_chasis_mms
2026-01-01 00:00:00,CAT-797F-003,72.60207783824741,73.0425629234766,8.563381439193428
2026-01-01 01:00:00,CAT-797F-004,77.53656525643814,63.18787617565531,9.86515467050941
2026-01-01 02:00:00,CAT-797F-001,72.96547179245361,45.896313382592886,4.129912937321239
2026-01-01 03:00:00,CAT-797F-003,68.9916140190675,43.344101157944486,8.06117804587349
2026-01-01 04:00:00,CAT-797F-003,70.42861419952703,45.73664533856323,7.503332823009361
2026-01-01 05:00:00,CAT-797F-004,85.73504456147266,64.85940890315318,10.244718956276847
2026-01-01 06:00:00,CAT-797F-001,74.28501732826066,59.76167749816865,11.013914135053236
2026-01-01 07:00:00,CAT-797F-001,81.3921437471634,38.33380055403606,1.6276461005125615
2026-01-01 08:00:00,CAT-797F-003,87.65377718846855,37.8349200900338,8.577209150117323
2026-01-01 09:00:00,CAT-797F-002,96.06776728832143,34.427804237102876,2.044275890757155
2026-01-01 10:00:00,CAT-797F-003,66.76904629284945,59.71362238656022,7.263015983312237
2026-01-01 11:00:00,CAT-797F-003,100.97346795090692,64.39676979997812,4.520143654958622
2026-01-01 12:00:00,CAT-797F-003,93.25551752709084,41.92708927462518,4.721154294982483
2026-01-01 13:00:00,CAT-797F-003,68.67915643769923,30.942523246391076,5.2060642862497435
2026-01-01 14:00:00,CAT-797F-004,104.31103808480498,33.69772503643923,8.023570715020906
2026-01-01 15:00:00,CAT-797F-001,106.43925802393159,73.55370156802637,5.007524639522076
2026-01-01 16:00:00,CAT-797F-004,67.74850819346887,43.29501498648391,9.193340031197945
2026-01-01 17:00:00,CAT-797F-004,77.45949416662417,64.61504165271602,5.7475375485256315
2026-01-01 18:00:00,CAT-797F-004,101.27905759068776,58.10986059844187,2.2177086032545654
2026-01-01 19:00:00,CAT-797F-003,98.67168606726463,47.18728378438031,9.729478346083127
2026-01-01 20:00:00,CAT-797F-002,73.30344587103698,39.255926798799976,4.500462408223413
2026-01-01 21:00:00,CAT-797F-001,74.42071955015196,35.46238881717329,6.0440522357922575
2026-01-01 22:00:00,CAT-797F-002,81.67124462561219,57.675583561748994,8.697160773829966
2026-01-01 23:00:00,CAT-797F-004,86.80353433359596,64.85852012870046,4.990789650061476
2026-01-02 00:00:00,CAT-797F-004,92.82146471886333,58.97569140935088,2.0941493895405143
2026-01-02 01:00:00,CAT-797F-002,81.60111378063976,53.863595996212126,5.426170993634543
2026-01-02 02:00:00,CAT-797F-002,85.81406222599165,31.88780505442363,11.416710118290187
2026-01-02 03:00:00,CAT-797F-002,98.63619221601905,73.58199499174728,8.23821117163486
2026-01-02 04:00:00,CAT-797F-004,66.6507441300769,65.94213862445585,8.550531061005673
2026-01-02 05:00:00,CAT-797F-004,76.35966249548093,43.17699165154342,8.138962613195218
2026-01-02 06:00:00,CAT-797F-001,97.10073136480486,74.09866482114828,3.5894174590740864
2026-01-02 07:00:00,CAT-797F-001,105.28430769592397,57.08467153363449,5.892505573073941
2026-01-02 08:00:00,CAT-797F-004,88.02548489520498,56.20901961932609,9.384867882814842
2026-01-02 09:00:00,CAT-797F-002,88.9451068369392,63.66329307432895,2.564415424308171
2026-01-02 10:00:00,CAT-797F-002,69.82274051028992,66.5296404640562,4.417454148941979
