fecha_hora,id_unidad,temperatura_motor_c,presion_aceite_psi,vibracion_chasis_mms,falla,carga_termica
2026-01-01 00:00:00,CAT-797F-003,72.60207783824741,73.0425629234766,8.563381439193428,0,621.7192858069244
2026-01-01 01:00:00,CAT-797F-004,77.53656525643814,63.18787617565531,9.86515467050941,0,764.9102088748084
2026-01-01 02:00:00,CAT-797F-001,72.96547179245361,45.896313382592886,4.129912937321239,0,301.34104593340214
2026-01-01 03:00:00,CAT-797F-003,68.9916140190675,43.344101157944486,8.06117804587349,0,556.1536842798846
2026-01-01 04:00:00,CAT-797F-003,70.42861419952703,45.73664533856323,7.503332823009361,0,528.4493326023744
2026-01-01 05:00:00,CAT-797F-004,85.73504456147266,64.85940890315318,10.244718956276849,1,878.3314362361593
2026-01-01 06:00:00,CAT-797F-001,74.28501732826066,59.76167749816865,11.013914135053236,1,818.1688023744047
2026-01-01 07:00:00,CAT-797F-001,81.3921437471634,38.33380055403606,1.6276461005125615,0,132.47760538242838
2026-01-01 08:00:00,CAT-797F-003,87.65377718846855,37.8349200900338,8.577209150117323,0,751.8247797432775
2026-01-01 09:00:00,CAT-797F-002,96.06776728832143,34.42780423710288,2.044275890757155,1,196.3890205463844
2026-01-01 10:00:00,CAT-797F-003,66.76904629284945,59.71362238656022,7.263015983312237,0,484.9446504154802
2026-01-01 11:00:00,CAT-797F-003,100.97346795090692,64.39676979997812,4.520143654958622,1,456.41458047745965
2026-01-01 12:00:00,CAT-797F-003,93.25551752709084,41.92708927462518,4.721154294982483,0,440.27368710383917
2026-01-01 13:00:00,CAT-797F-003,68.67915643769923,30.94252324639108,5.206064286249744,1,357.5481035400652
2026-01-01 14:00:00,CAT-797F-004,104.31103808480498,33.69772503643923,8.023570715020906,1,836.9469904306716
2026-01-01 15:00:00,CAT-797F-001,106.4392580239316,73.55370156802637,5.007524639522076,1,532.9972071672853
2026-01-01 16:00:00,CAT-797F-004,67.74850819346887,43.29501498648391,9.193340031197945,0,622.8350724289593
2026-01-01 17:00:00,CAT-797F-004,77.45949416662417,64.61504165271602,5.747537548525632,0,445.2013512124746
